Name of Monitoring Station,Year,Sampling Month,pH,BOD (mg/L),COD (mg/L),Total Dissolved Solids,Total Coliform (MPN/100),Latitude,Longitude
Allalasandra Lake,2024,December,8.1,5.0,48.0,290.0,2800.0,13.09078569,77.58580537
Yelahanka Tank,2024,December,8.1,5.0,52.0,288.0,2200.0,13.0901,77.5925
Subramanyapura Tank,2024,December,7.6,16.0,124.0,532.0,15000.0,12.89668663,77.54331633
Devarakere Tank,2024,December,6.5,8.0,88.0,228.0,13000.0,12.89808367,77.5543472
Malathahalli Lake,2024,December,6.8,4.0,48.0,392.0,2400.0,12.96467512,77.49507669
Hoskere Lake,2024,December,6.5,7.0,84.0,252.0,2800.0,12.92672778,77.48054898
Yelachenahalli Lake,2024,December,6.8,5.0,52.0,304.0,1700.0,12.89926437,77.56547215
Kengeri Tank,2024,December,6.5,5.0,56.0,240.0,4300.0,12.91685922,77.48789417
Uttarahalli Doraikere,2024,December,6.5,20.0,144.0,180.0,9400.0,12.90305626,77.55084832
Dhorekere Tank,2024,December,6.5,78.0,420.0,262.0,11000.0,12.93017436,77.494945
Jigani Tank,2024,December,7.3,7.0,66.0,538.0,630.0,12.79585704,77.63284772
Benniganahalli Lake,2024,December,7.9,4.0,42.0,376.0,3500.0,12.99772381,77.66545556
Mathikere Tank,2024,December,6.5,5.0,52.0,196.0,4700.0,13.00974799,77.5736474
Gangondanahalli Lake,2024,December,7.4,14.0,132.0,1266.0,1400.0,12.99954081,77.4646815
Chikkabanavara Lake,2024,December,7.0,13.0,120.0,700.0,5400.0,13.08356016,77.50682992
Andhrahalli Lake,2024,December,7.1,10.0,93.0,328.0,3900.0,13.01026314,77.48646759
Kachohalli Lake,2024,December,7.0,30.0,199.0,1190.0,460.0,13.01365684,77.45596987
"River Dakshina Pinakini Near Mugalur Bridge Mugalur, Bengaluru",2024,December,7.2,36.0,200.0,984.0,2800.0,12.923526,77.560747
Sarakki Lake,2024,December,7.4,4.0,48.0,482.0,1200.0,12.89941681,77.57913342
Nelamangala Lake,2024,December,6.5,8.0,70.0,832.0,3500.0,13.08073442,77.40002615
Abbigere Lake,2024,December,6.9,5.0,41.0,350.0,13000.0,13.0791175,77.52872073
Chelekere Lake,2024,December,7.8,6.0,46.0,294.0,2800.0,13.02641201,77.6449817
Singapura Lake,2024,December,7.6,7.0,53.0,288.0,3500.0,13.08266187,77.53568704
Narasipura Lake,2024,December,6.5,9.0,80.0,326.0,2400.0,13.07260237,77.55884035
Rachenahalli Lake,2024,December,7.7,7.0,59.0,286.0,4300.0,13.06365337,77.61270948
Kogilu Kere,2024,December,7.7,6.0,53.0,294.0,2200.0,13.11015107,77.61852742
Viswaneedam Lake,2024,December,7.1,144.0,448.0,734.0,35000.0,12.98884671,77.49016012
Ramammana Kere,2024,December,7.2,16.0,112.0,670.0,9400.0,12.96089629,77.22799123
Sadaramangala Lake,2024,December,7.2,25.0,180.0,758.0,5400.0,12.99966199,77.72775764
Bhattarahalli Lake,2024,December,7.4,9.0,80.0,422.0,920.0,13.02479566,77.7086534
Kundalahalli Lake,2024,December,7.5,20.0,148.0,962.0,230.0,12.96854049,77.72057586
Kowdhenahalli Tank,2024,December,7.9,9.0,86.0,322.0,2400.0,13.02076247,77.67591701
Garudacharpalya Tank,2024,December,6.6,7.0,88.0,404.0,2200.0,12.99262062,77.69630153
Rampura Lake,2024,December,6.9,7.0,59.0,540.0,2800.0,13.04831239,77.69012069
Chinnappanahalli Lake,2024,December,6.6,4.0,48.0,466.0,1600.0,12.96611529,77.70675679
Vibhuthipura Lake,2024,December,7.0,5.0,59.0,450.0,2800.0,12.9683535,77.67578051
Nallurahalli Lake,2024,December,7.4,21.0,156.0,936.0,940.0,12.97468741,77.7354134
Pattandur Agrahara Lake,2024,December,7.5,17.0,136.0,946.0,430.0,12.97655779,77.74570003
Seetharampalya Lake,2024,December,7.3,14.0,126.0,758.0,3500.0,12.98248112,77.71330594
Devasandra Lake,2024,December,7.6,5.0,53.0,300.0,1600.0,13.00543793,77.69382235
Sheelavanta-Whitefield Lake,2024,December,6.7,6.0,64.0,620.0,4300.0,12.96463102,77.74265937
Doddakannehalli Lake,2024,December,8.3,21.0,155.0,398.0,9400.0,12.91183624,77.6928301
Kammasandra Lake,2024,December,6.9,5.0,50.0,406.0,2200.0,12.942072,77.392563
Rayasandra Lake,2024,December,7.1,15.0,156.0,1174.0,46000.0,12.87037689,77.6779843
Chandapura Lake,2024,December,7.2,70.0,332.0,1456.0,70000.0,12.80573568,77.70537996
Ullalu Lake,2024,December,6.5,8.0,92.0,234.0,3500.0,12.9609124,77.4804805
Sompura Lake,2024,December,7.4,5.0,46.0,318.0,13000.0,12.87447508,77.49860778
Gubbalal Lake,2024,December,6.5,20.0,152.0,272.0,3500.0,12.88094395,77.54067908
Hosakerehalli Lake,2024,December,7.8,20.0,171.0,550.0,14000.0,12.92636311,77.53384359
Chinnakurchi Kere,2024,December,8.2,5.0,43.0,290.0,5400.0,12.82129367,77.46615876
Machohalli Lake,2024,December,7.3,16.0,155.0,1344.0,4800.0,13.01318643,77.4546073
Doddabidarakallu Lake,2024,December,7.3,93.0,296.0,892.0,28000.0,13.04339075,77.49562264
Kammagondanahalli Lake,2024,December,6.7,7.0,62.0,256.0,2300.0,13.06872462,77.52323601
Alur Lake,2024,December,6.9,7.0,60.0,110.0,2200.0,13.09743325,77.45848496
Basavanapura Lake,2024,December,7.0,5.0,58.0,618.0,3500.0,12.84453538,77.58927218
Kodi Singasandra Lake,2024,December,6.8,4.0,37.0,400.0,2200.0,12.88226483,77.6455833
Kothanuru Lake,2024,December,7.7,4.0,48.0,348.0,2400.0,12.87403308,77.58000279
Jungu Kere (Devarabeesanahalli Lake),2024,December,8.2,24.0,160.0,366.0,9400.0,13.148986,77.362359
Jakksandra Lake (Kasavanahalli Lake ),2024,December,7.7,4.0,46.0,288.0,2800.0,12.834514,77.365409
Mangamanapalya Lake(Swarana Kunte),2024,December,7.8,4.0,40.0,290.0,3500.0,12.90269634,7.639448243
"Kannahalli Lake Kannahalli, Bengaluru",2024,December,7.1,9.0,87.0,910.0,4900.0,12.96824687,77.46185005
"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru",2024,December,6.7,7.0,62.0,738.0,3500.0,13.129034,77.388766
"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru",2024,December,7.4,17.0,128.0,940.0,790.0,13.045462,77.552583
"Munekolalu Lake ,Marathahalli, East Taluka
,Bengaluru",2024,December,6.5,7.0,80.0,406.0,2400.0,13.074279,77.341794
"Mahadevpuraã¢  Lake, K. R. Puram , Bangalore East Taluka",2024,December,6.6,8.0,92.0,464.0,3500.0,12.979421,77.517979
"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East",2024,December,6.9,15.0,148.0,708.0,48000.0,13.106226,77.338067
"Kannamangala Lake Hoskote Main Road , Bengalore",2024,December,6.8,16.0,120.0,978.0,3500.0,13.02935241,77.77426959
Kannur Lake Near By Hennur Road Bengalore,2024,December,7.6,18.0,162.0,1410.0,5400.0,13.1032445,77.66119409
"Basavanapura Lake Ayyappa Nagr Main Road , K.
R. Puram , Bengaluru",2024,December,7.6,6.0,59.0,314.0,540.0,13.163732,77.594021
"Doddakallasandra Lake,Bengaluru",2024,December,6.8,5.0,60.0,134.0,9400.0,12.88228955,77.56127506
"Ulsoor Lake Near Kalyani,Bengaluru",2024,December,7.8,4.0,49.0,296.0,14000.0,12.98288947,77.62094479
"Byrasandra Upper Lake,Bengaluru",2024,December,6.9,4.0,46.0,670.0,2200.0,12.93065731,77.59565712
"Soulkere, Kaikondrahalli Vill,Bengaluru",2024,December,8.0,5.0,58.0,308.0,3500.0,12.91856038,77.68025593
"Kudlu Doddakere, Kudlu Vill,Bengaluru",2024,December,6.9,8.0,88.0,470.0,3500.0,12.88376503,77.66439049
"Kudlu Chikkakere, Bgp Layout Kudlu Vill
,Bengaluru",2024,December,7.9,4.0,48.0,450.0,2400.0,12.852625,77.594189
"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru",2024,December,6.5,24.0,197.0,368.0,2200.0,12.86550272,77.56632056
Ulsoor Lake Training Centre Of Fish Breeding,2024,November,7.4,6.0,56.0,292.0,4800.0,12.9825,77.6191
River Arkavathi At Tippagondanahalli Reservoir,2024,November,7.9,6.0,56.0,648.0,94.0,12.966127,77.336189
Madiwala Tank,2024,November,8.2,7.0,55.0,280.0,1600.0,12.9734,77.3444
Lalbagh Tank,2024,November,8.0,6.0,58.0,358.0,9400.0,12.9069,77.6161
Kempambudhi Tank,2024,November,7.4,9.0,80.0,224.0,3500.0,12.9507,77.5844
Yediyur Tank,2024,November,7.0,6.0,57.0,202.0,4800.0,12.9575,77.5645
Ulsoor Lake Temple,2024,November,6.7,17.0,116.0,332.0,11000.0,12.9288,77.5794
Sankey Tank,2024,November,7.6,5.0,52.0,194.0,1600.0,12.982,77.621
Byrasandra Tank,2024,November,7.0,4.0,45.0,298.0,3500.0,13.0064,77.5755
Nayandanahalli Tank,2024,November,8.5,6.0,42.0,546.0,7900.0,13.1162,77.5759
Hesaraghatta Lake,2024,November,7.2,11.0,109.0,294.0,1600.0,13.0415,77.6152
Herohalli Tank,2024,November,7.3,11.0,90.0,280.0,4800.0,13.1368,77.4851
Anchepalya Lake,2024,November,6.7,16.0,120.0,242.0,7000.0,13.0012,77.4842
Shivapura Tank,2024,November,8.2,4.0,44.0,422.0,2400.0,13.0456,77.4828
Karihobanahalli Lake,2024,November,7.2,72.0,264.0,1368.0,170000.0,13.0294,77.5147
Bellandur Lake,2024,November,7.4,7.0,64.0,638.0,2400.0,13.0189,77.4912
Vengaiyyanakere( Kr Puram Lake ),2024,November,7.1,29.0,200.0,962.0,3500.0,13.01632597,77.6999225
Doddanekkundi Lake,2024,November,7.3,5.0,35.0,378.0,4300.0,13.0062,77.6811
Yelemallappa Shetty Lake,2024,November,6.9,18.0,192.0,916.0,3500.0,12.9714,77.6953
Dasarahalli Tank,2024,November,6.5,6.0,56.0,162.0,7900.0,13.0232,77.7288
Kalkere Tank,2024,November,7.5,6.0,56.0,462.0,2400.0,13.0435,77.5141
Varthur Lake,2024,November,6.9,18.0,136.0,640.0,3500.0,13.0287,77.6685
Ibbalur Lake,2024,November,7.3,6.0,42.0,420.0,2800.0,12.922,77.666
Tubarahalli Tank,2024,November,7.5,6.0,52.0,430.0,2800.0,12.958187,77.725785
Kaikondanahalli Lake,2024,November,7.3,36.0,192.0,760.0,5400.0,12.91627,77.737065
Agaram Lake,2024,November,7.8,5.0,37.0,692.0,3500.0,12.921,77.641
Gottigere Lake,2024,November,6.8,6.0,55.0,260.0,2400.0,12.8552,77.5878
Puttenahalli Lake,2024,November,6.7,4.0,44.0,802.0,4300.0,12.8985,77.5849
Puttenahalli Lake,2024,November,6.7,4.0,44.0,802.0,4300.0,12.89072263,77.5871604
Arakere Lake,2024,November,7.4,7.0,60.0,494.0,9400.0,12.8765,77.5991
Kalena Agrahara Lake,2024,November,6.5,8.0,80.0,830.0,3500.0,12.8624,77.5956
Singasandra Lake,2024,November,7.3,48.0,272.0,758.0,5400.0,12.8872,77.6493
Begur Tank,2024,November,7.8,8.0,76.0,266.0,2400.0,12.8814,77.6325
Parappana Agrahara Lake,2024,November,7.7,10.0,83.0,476.0,9400.0,12.8879,77.6591
Haralur Lake,2024,November,7.5,25.0,176.0,946.0,2100.0,12.89829,77.66142
Somasundrapalya Lake,2024,November,7.9,12.0,106.0,694.0,5400.0,12.89872064,77.64800365
Anekal Doddakere Tank,2024,November,7.3,6.0,48.0,950.0,2800.0,12.87466479,77.78340625
Puttenahalli Lake,2024,November,7.6,7.0,68.0,238.0,3500.0,12.8985,77.5849
Puttenahalli Lake,2024,November,7.6,7.0,68.0,238.0,3500.0,12.89072263,77.5871604
Hebbal Lake,2024,November,6.5,9.0,84.0,262.0,2200.0,13.04697661,77.58600905
Nagavara Lake,2024,November,7.8,5.0,41.0,236.0,2400.0,13.0449046,77.60895858
Jakkur Lake,2024,November,8.1,6.0,43.0,236.0,3500.0,13.08770697,77.61004718
Amruthahalli Lake,2024,November,6.5,8.0,69.0,290.0,2400.0,13.06138758,77.5987903
Allalasandra Lake,2024,November,7.9,7.0,60.0,268.0,3500.0,13.09078569,77.58580537
Yelahanka Tank,2024,November,8.0,6.0,52.0,238.0,2800.0,13.0901,77.5925
Subramanyapura Tank,2024,November,8.5,11.0,92.0,432.0,14000.0,12.89668663,77.54331633
Devarakere Tank,2024,November,7.2,5.0,64.0,222.0,2200.0,12.89808367,77.5543472
Malathahalli Lake,2024,November,6.5,5.0,64.0,272.0,2400.0,12.96467512,77.49507669
Hoskere Lake,2024,November,6.5,36.0,168.0,218.0,79000.0,12.92672778,77.48054898
Yelachenahalli Lake,2024,November,6.6,7.0,72.0,280.0,7900.0,12.89926437,77.56547215
Kengeri Tank,2024,November,6.5,4.0,44.0,204.0,2800.0,12.91685922,77.48789417
Uttarahalli Doraikere,2024,November,6.8,20.0,152.0,207.0,3500.0,12.90305626,77.55084832
Dhorekere Tank,2024,November,6.6,16.0,124.0,279.0,4800.0,12.93017436,77.494945
Jigani Tank,2024,November,7.6,6.0,43.0,826.0,920.0,12.79585704,77.63284772
Benniganahalli Lake,2024,November,8.0,4.0,41.0,358.0,2800.0,12.99772381,77.66545556
Mathikere Tank,2024,November,7.1,6.0,52.0,342.0,920.0,13.00974799,77.5736474
Gangondanahalli Lake,2024,November,7.0,10.0,90.0,732.0,3500.0,12.99954081,77.4646815
Chikkabanavara Lake,2024,November,7.4,9.0,89.0,296.0,2400.0,13.08356016,77.50682992
Andhrahalli Lake,2024,November,6.5,6.0,41.0,302.0,9400.0,13.01026314,77.48646759
Kachohalli Lake,2024,November,6.7,15.0,128.0,928.0,11000.0,13.01365684,77.45596987
"River Dakshina Pinakini Near Mugalur Bridge Mugalur, Bengaluru",2024,November,7.6,17.0,137.0,900.0,24000.0,12.838959,77.412502
Sarakki Lake,2024,November,7.2,4.0,35.0,466.0,2400.0,12.89941681,77.57913342
Nelamangala Lake,2024,November,6.5,29.0,168.0,490.0,2800.0,13.08073442,77.40002615
Abbigere Lake,2024,November,6.5,4.0,36.0,242.0,2800.0,13.0791175,77.52872073
Chelekere Lake,2024,November,6.3,5.0,38.0,290.0,2800.0,13.02641201,77.6449817
Singapura Lake,2024,November,7.7,5.0,39.0,238.0,3500.0,13.08266187,77.53568704
Narasipura Lake,2024,November,6.2,6.0,42.0,288.0,2200.0,13.07260237,77.55884035
Rachenahalli Lake,2024,November,7.9,8.0,67.0,242.0,4300.0,13.06365337,77.61270948
Kogilu Kere,2024,November,6.4,9.0,74.0,292.0,4800.0,13.11015107,77.61852742
Viswaneedam Lake,2024,November,6.4,16.0,144.0,508.0,7900.0,12.98884671,77.49016012
Ramammana Kere,2024,November,6.9,9.0,93.0,678.0,48000.0,12.96089629,77.22799123
Sadaramangala Lake,2024,November,7.5,8.0,60.0,428.0,1700.0,12.99966199,77.72775764
Bhattarahalli Lake,2024,November,6.9,5.0,58.0,990.0,5400.0,13.02479566,77.7086534
Kundalahalli Lake,2024,November,8.2,12.0,113.0,358.0,3500.0,12.96854049,77.72057586
Kowdhenahalli Tank,2024,November,7.6,13.0,150.0,416.0,2400.0,13.02076247,77.67591701
Garudacharpalya Tank,2024,November,7.2,15.0,120.0,356.0,3500.0,12.99262062,77.69630153
Rampura Lake,2024,November,7.0,86.0,396.0,630.0,17000.0,13.04831239,77.69012069
Chinnappanahalli Lake,2024,November,8.5,10.0,93.0,360.0,3500.0,12.96611529,77.70675679
Devarabeesanahalli Lake,2024,November,7.3,24.0,168.0,754.0,3500.0,12.9231047,77.68715487
Vibhuthipura Lake,2024,November,7.7,6.0,42.0,1076.0,2800.0,12.9683535,77.67578051
Nallurahalli Lake,2024,November,7.6,4.0,40.0,458.0,1600.0,12.97468741,77.7354134
Pattandur Agrahara Lake,2024,November,7.2,20.0,142.0,964.0,1600.0,12.97655779,77.74570003
Seetharampalya Lake,2024,November,7.1,23.0,192.0,986.0,3500.0,12.98248112,77.71330594
Devasandra Lake,2024,November,7.6,14.0,141.0,420.0,2200.0,13.00543793,77.69382235
Sheelavanta-Whitefield Lake,2024,November,7.3,5.0,56.0,404.0,920.0,12.96463102,77.74265937
Doddakannehalli Lake,2024,November,7.4,6.0,56.0,576.0,2200.0,12.91183624,77.6928301
Kasavanahalli Lake,2024,November,7.6,7.0,68.0,562.0,4300.0,12.90544792,77.66897823
Rayasandra Lake,2024,November,7.7,14.0,109.0,998.0,33000.0,12.87037689,77.6779843
Chandapura Lake,2024,November,7.9,27.0,170.0,1357.0,46000.0,12.80573568,77.70537996
Ullalu Lake,2024,November,6.5,7.0,72.0,212.0,3500.0,12.9609124,77.4804805
Sompura Lake,2024,November,7.3,6.0,56.0,422.0,2400.0,12.87447508,77.49860778
Gubbalal Lake,2024,November,8.2,6.0,41.0,216.0,2400.0,12.88094395,77.54067908
Hosakerehalli Lake,2024,November,6.5,8.0,80.0,288.0,33000.0,12.92636311,77.53384359
Chinnakurchi Kere,2024,November,6.5,7.0,76.0,158.0,4600.0,12.82129367,77.46615876
Machohalli Lake,2024,November,6.9,10.0,90.0,1168.0,1600.0,13.01318643,77.4546073
Doddabidarakallu Lake,2024,November,7.3,6.0,68.0,880.0,3500.0,13.04339075,77.49562264
Kammagondanahalli Lake,2024,November,6.8,5.0,54.0,232.0,9400.0,13.06872462,77.52323601
Alur Lake,2024,November,6.7,4.0,35.0,132.0,920.0,13.09743325,77.45848496
Basavanapura Lake,2024,November,7.7,4.0,47.0,254.0,3500.0,12.84453538,77.58927218
Kodi Singasandra Lake,2024,November,8.0,5.0,38.0,664.0,3500.0,12.88226483,77.6455833
Kothanuru Lake,2024,November,6.6,5.0,49.0,814.0,3500.0,12.87403308,77.58000279
Mangamanapalya Lake(Swarana Kunte),2024,November,7.9,7.0,52.0,668.0,2800.0,12.90269634,7.639448243
"Kannahalli Lake Kannahalli, Bengaluru",2024,November,6.6,7.0,50.0,890.0,3500.0,12.96824687,77.46185005
"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru",2024,November,6.5,4.0,37.0,326.0,920.0,13.186482,77.55383
"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru",2024,November,7.6,5.0,35.0,426.0,2100.0,12.927125,77.440608
"Munekolalu Lake ,Marathahalli, East Taluka , Bengaluru",2024,November,8.0,12.0,110.0,272.0,5400.0,12.992822,77.520317
"Mahadevpuraã¢  Lake, K. R. Puram , Bangalore East Taluka",2024,November,8.5,9.0,77.0,656.0,2200.0,13.151225,77.464468
"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East",2024,November,7.3,18.0,169.0,598.0,3500.0,13.191982,77.3794
"Kannamangala Lake Hoskote Main Road , Bengalore",2024,November,6.7,5.0,56.0,986.0,2800.0,13.02935241,77.77426959
Kannur Lake Near By Hennur Road Bengalore,2024,November,7.8,73.0,343.0,996.0,11000.0,13.1032445,77.66119409
"Basavanapura Lake Ayyappa Nagr Main Road, K.
R. Puram , Bengaluru",2024,November,7.4,5.0,48.0,342.0,2400.0,13.059672,77.489498
"Doddakallasandra Lake,Bengaluru",2024,November,6.7,5.0,52.0,798.0,2800.0,12.88228955,77.56127506
"Ulsoor Lake Near Kalyani,Bengaluru",2024,November,8.2,5.0,52.0,230.0,9400.0,12.98288947,77.62094479
"Byrasandra Upper Lake,Bengaluru",2024,November,7.7,4.0,40.0,250.0,7900.0,12.93065731,77.59565712
"Soulkere, Kaikondrahalli Vill,Bengaluru",2024,November,7.5,5.0,48.0,550.0,2800.0,12.91856038,77.68025593
"Kudlu Doddakere, Kudlu Vill,Bengaluru",2024,November,7.8,50.0,236.0,952.0,2400.0,12.88376503,77.66439049
"Kudlu Chikkakere, Bgp Layout Kudlu Vill , Bengaluru",2024,November,7.6,6.0,60.0,756.0,2800.0,13.045276,77.511867
"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru",2024,November,7.4,6.0,56.0,492.0,2800.0,12.86550272,77.56632056
Ulsoor Lake Training Centre Of Fish Breeding,2024,October,10.0,4.0,48.0,278.0,2400.0,12.9825,77.6191
River Arkavathi At Tippagondanahalli Reservoir,2024,October,7.2,8.0,80.0,770.0,63.0,12.966127,77.336189
Madiwala Tank,2024,October,7.5,5.0,60.0,714.0,7900.0,12.9734,77.3444
Lalbagh Tank,2024,October,8.2,4.0,48.0,360.0,13000.0,12.9069,77.6161
Kempambudhi Tank,2024,October,6.8,16.0,112.0,295.0,9400.0,12.9507,77.5844
Yediyur Tank,2024,October,7.5,4.0,40.0,172.0,14000.0,12.9575,77.5645
Ulsoor Lake Temple,2024,October,9.2,5.0,60.0,270.0,24000.0,12.9288,77.5794
Sankey Tank,2024,October,6.9,8.0,74.0,378.0,17000.0,12.982,77.621
Byrasandra Tank,2024,October,9.6,6.0,56.0,296.0,4300.0,13.0064,77.5755
Nayandanahalli,2024,October,8.5,18.0,121.0,462.0,1700.0,12.988757,77.453624
Hesaraghatta Lake,2024,October,7.1,10.0,96.0,254.0,7900.0,13.0415,77.6152
Herohalli Tank,2024,October,7.8,30.0,172.0,272.0,13000.0,13.1368,77.4851
Anchepalya Lake,2024,October,6.4,9.0,86.0,242.0,94000.0,13.0012,77.4842
Shivapura Tank,2024,October,7.2,5.0,64.0,432.0,5400.0,13.0456,77.4828
Karihobanahalli Lake,2024,October,6.5,41.0,204.0,1056.0,94000.0,13.0294,77.5147
Bellandur Lake,2024,October,7.5,5.0,48.0,584.0,7900.0,13.0189,77.4912
Vengaiyyanakere( Kr Puram Lake ),2024,October,6.9,50.0,276.0,398.0,35000.0,13.01632597,77.6999225
Doddanekkundi Lake,2024,October,6.6,20.0,130.0,360.0,5400.0,13.0062,77.6811
Yelemallappa Shetty Lake,2024,October,7.0,17.0,112.0,680.0,5400.0,12.9714,77.6953
Dasarahalli Tank,2024,October,6.5,5.0,52.0,188.0,70000.0,13.0232,77.7288
Kalkere Tank,2024,October,6.6,38.0,220.0,554.0,7900.0,13.0435,77.5141
Varthur Lake,2024,October,6.6,20.0,146.0,644.0,9200.0,13.0287,77.6685
Ibbalur Lake,2024,October,7.2,6.0,56.0,574.0,1600.0,12.922,77.666
Tubarahalli Tank,2024,October,8.0,7.0,80.0,604.0,2400.0,12.958187,77.725785
Kaikondanahalli Lake,2024,October,7.2,25.0,176.0,638.0,170000.0,12.91627,77.737065
Agaram Lake,2024,October,7.2,7.0,64.0,576.0,3500.0,12.921,77.641
Gottigere Lake,2024,October,7.4,18.0,120.0,748.0,3500.0,12.8552,77.5878
Puttenahalli Lake,2024,October,7.6,10.0,100.0,388.0,2400.0,12.8985,77.5849
Puttenahalli Lake,2024,October,7.6,10.0,100.0,388.0,2400.0,12.89072263,77.5871604
Arakere Lake,2024,October,6.9,30.0,172.0,390.0,4300.0,12.8765,77.5991
Kalena Agrahara Lake,2024,October,7.2,20.0,152.0,810.0,1600.0,12.8624,77.5956
Singasandra Lake,2024,October,7.1,7.0,60.0,382.0,13000.0,12.8872,77.6493
Begur Tank,2024,October,7.5,9.0,84.0,1254.0,70000.0,12.8814,77.6325
Parappana Agrahara Lake,2024,October,7.2,4.0,48.0,456.0,5400.0,12.8879,77.6591
Haralur Lake,2024,October,7.0,50.0,236.0,496.0,24000.0,12.89829,77.66142
Somasundrapalya Lake,2024,October,7.5,6.0,64.0,716.0,14000.0,12.89872064,77.64800365
Anekal Doddakere Tank,2024,October,8.0,7.0,66.0,732.0,920.0,12.87466479,77.78340625
Puttenahalli Lake,2024,October,6.8,15.0,149.0,408.0,1600.0,12.8985,77.5849
Puttenahalli Lake,2024,October,6.8,15.0,149.0,408.0,1600.0,12.89072263,77.5871604
Hebbal Lake,2024,October,6.7,13.0,129.0,260.0,3500.0,13.04697661,77.58600905
Nagavara Lake,2024,October,6.8,6.9,67.0,252.0,2800.0,13.0449046,77.60895858
Jakkur Lake,2024,October,7.0,19.0,127.0,656.0,4800.0,13.08770697,77.61004718
Amruthahalli Lake,2024,October,7.3,7.0,60.0,404.0,3500.0,13.06138758,77.5987903
Allalasandra Lake,2024,October,7.0,4.0,46.0,224.0,2400.0,13.09078569,77.58580537
Yelahanka Tank,2024,October,6.7,8.0,72.0,220.0,4300.0,13.0901,77.5925
Veerapura Tank,2024,October,6.9,4.0,40.0,680.0,3500.0,13.168229,77.548571
Subramanyapura Tank,2024,October,8.5,43.0,227.0,470.0,7000.0,12.89668663,77.54331633
Devarakere Tank,2024,October,8.2,10.0,96.0,232.0,4600.0,12.89808367,77.5543472
Malathahalli Lake,2024,October,7.4,4.0,32.0,288.0,4800.0,12.96467512,77.49507669
Hoskere Lake,2024,October,6.5,16.0,112.0,232.0,1600.0,12.92672778,77.48054898
Yelachenahalli Lake,2024,October,7.6,4.0,52.0,299.0,7900.0,12.89926437,77.56547215
Kengeri Tank,2024,October,8.0,4.0,35.0,400.0,2400.0,12.91685922,77.48789417
Dhorekere Tank,2024,October,8.5,10.0,97.0,214.0,4800.0,12.93017436,77.494945
Jigani Tank,2024,October,8.0,7.0,60.0,734.0,1600.0,12.79585704,77.63284772
Benniganahalli Lake,2024,October,6.7,8.0,76.0,382.0,3500.0,12.99772381,77.66545556
Mydala Tank,2024,October,7.1,4.0,40.0,90.0,2800.0,12.93237,77.595604
Mathikere Tank,2024,October,7.2,8.0,70.0,292.0,7000.0,13.00974799,77.5736474
Gangondanahalli Lake,2024,October,7.1,16.0,160.0,784.0,3500.0,12.99954081,77.4646815
Chikkabanavara Lake,2024,October,6.8,6.0,72.0,356.0,11000.0,13.08356016,77.50682992
Andhrahalli Lake,2024,October,7.1,20.0,156.0,300.0,11000.0,13.01026314,77.48646759
Kachohalli Lake,2024,October,6.7,38.0,192.0,712.0,70000.0,13.01365684,77.45596987
"River Dakshina Pinakini Near Mugalur Bridge Mugalur, Bengaluru",2024,October,6.5,71.0,360.0,826.0,4600000.0,12.904664,77.506428
Madhure Tank,2024,October,7.0,4.0,44.0,172.0,4800.0,13.130716,77.437378
Sarakki Lake,2024,October,7.6,6.0,56.0,442.0,2400.0,12.89941681,77.57913342
Nelamangala Lake,2024,October,7.2,7.0,60.0,878.0,3500.0,13.08073442,77.40002615
Abbigere Lake,2024,October,6.6,18.0,118.0,528.0,12000.0,13.0791175,77.52872073
Chelekere Lake,2024,October,6.8,22.0,147.0,382.0,9400.0,13.02641201,77.6449817
Singapura Lake,2024,October,7.0,10.0,90.0,378.0,46000.0,13.08266187,77.53568704
Narasipura Lake,2024,October,6.5,4.0,46.0,218.0,3500.0,13.07260237,77.55884035
Rachenahalli Lake,2024,October,6.8,16.0,108.0,652.0,11000.0,13.06365337,77.61270948
Kogilu Kere,2024,October,7.4,7.0,60.0,380.0,13000.0,13.11015107,77.61852742
Viswaneedam Lake,2024,October,6.7,22.0,160.0,250.0,7900.0,12.98884671,77.49016012
Ramammana Kere,2024,October,6.6,10.0,93.0,800.0,3500.0,12.96089629,77.22799123
Sadaramangala Lake,2024,October,7.2,8.0,72.0,384.0,920.0,12.99966199,77.72775764
Bhattarahalli Lake,2024,October,7.4,7.0,64.0,594.0,2400.0,13.02479566,77.7086534
Kundalahalli Lake,2024,October,8.2,10.0,92.0,828.0,3500.0,12.96854049,77.72057586
Kowdhenahalli Tank,2024,October,7.7,7.0,60.0,356.0,5400.0,13.02076247,77.67591701
Garudacharpalya Tank,2024,October,6.7,15.0,125.0,452.0,9400.0,12.99262062,77.69630153
Rampura Lake,2024,October,6.7,60.0,280.0,890.0,2800.0,13.04831239,77.69012069
Chinnappanahalli Lake,2024,October,8.1,4.0,41.0,416.0,2800.0,12.96611529,77.70675679
